,GSPC,DJI,IXIC,RUT,SSMI,OEX,N225,FTSE
RNN,1.974,1.730,1.904,1.749,1.880,1.895,1.900,2.269
LSTM,5.685,5.750,5.850,6.170,6.159,6.379,6.005,6.470
FNN,0.840,0.852,0.938,0.906,0.925,1.020,0.850,0.870
GB,0.060,0.047,0.070,0.056,0.075,0.060,0.097,0.036
GARCH,0.040,0.018,0.029,0.020,0.025,0.025,0.032,0.020
GJR,0.034,0.034,0.035,0.030,0.032,0.045,0.032,0.032
EGARCH,0.040,0.035,0.049,0.048,0.035,0.050,0.035,0.040
