Column1,^GSPC,^DJI,^IXIC,^RUT,^SSMI,^OEX,^N225,^FTSE
RNN,0.470603537,0.421552517,0.72057877,0.579348378,0.355764685,0.42479704,0.39017938,0.364259285
LSTM,0.312451764,0.310961704,0.304443249,0.441592034,0.336876323,0.29321298,0.364445922,0.354277911
FNN,0.500285812,0.569747305,0.866797076,0.563184825,0.36169036,0.494525503,0.397709256,0.404358164
GB,0.347379123,0.386324867,0.377626995,0.423736839,0.262690698,0.355866079,0.245467869,0.241022577
GARCH,0.219159968,0.230406332,0.206994566,0.244933976,0.207325717,0.220331301,0.241148095,0.195143054
GJR,0.301438765,0.31046918,0.274558576,0.333914175,0.263326206,0.299980919,0.294445841,0.280726674
EGARCH,0.403058149,0.406456803,0.465975418,0.474037077,0.369471709,0.401182777,0.473578885,0.367026436
