Date,JNJ,V,PG,KO,VZ,UPS,MMC,USB,OXY,AON,MCO,MCK,HPQ,KR,MKL,CE,GL,DVA
2008-12-31,40.40975570678711,11.926372528076172,41.18269729614258,14.952786445617676,16.622102737426758,36.8232536315918,17.702638626098633,18.182249069213867,37.9009895324707,39.0960693359375,16.858583450317383,34.52067565917969,11.955248832702637,10.381402969360352,299.0,10.184335708618164,17.426733016967773,24.78499984741211
2009-01-02,40.9636116027832,12.151479721069336,41.835533142089844,15.160879135131836,16.984941482543945,37.45744705200195,18.191341400146484,18.35671615600586,39.271942138671875,38.61680221557617,18.595640182495117,34.77915954589844,12.126553535461426,10.432500839233398,295.8999938964844,10.725101470947266,17.500810623168945,24.549999237060547
2009-01-05,40.558349609375,12.237886428833008,41.535762786865234,15.008934020996094,15.9258394241333,36.83660888671875,17.884986877441406,17.45524024963379,39.006595611572266,37.75236129760742,18.60402488708496,35.57242202758789,11.968425750732422,10.483603477478027,296.25,11.159343719482422,17.75421714782715,23.75
2009-01-06,40.31521224975586,13.09968090057373,41.41585159301758,14.767810821533203,15.670867919921875,36.99683380126953,18.198638916015625,17.26622200012207,38.94342041015625,37.47848129272461,19.28373908996582,35.23372268676758,12.95014476776123,9.96866226196289,313.8999938964844,11.66733455657959,18.05830192565918,23.44499969482422
2009-01-07,39.936981201171875,12.815447807312012,40.689727783203125,14.840479850769043,15.86985969543457,35.654998779296875,17.644289016723633,16.98996925354004,36.71321105957031,37.1104621887207,19.09912872314453,36.32112503051758,12.465872764587402,10.059070587158203,293.75,11.880359649658203,17.224014282226562,23.610000610351562
2009-01-08,39.86268615722656,12.6790189743042,40.24340057373047,14.942876815795898,16.11363983154297,34.853904724121094,17.491111755371094,16.837295532226562,37.27550506591797,37.136146545410156,19.006824493408203,36.392433166503906,12.399983406066895,9.878253936767578,302.04998779296875,11.86397647857666,17.126544952392578,23.75
2009-01-09,39.88295364379883,12.647177696228027,39.876991271972656,14.731476783752441,15.999214172363281,33.99943161010742,17.075355529785156,16.248424530029297,35.569664001464844,36.73387908935547,19.325698852539062,35.83981704711914,12.350571632385254,9.752464294433594,298.54998779296875,12.257255554199219,16.709392547607422,23.639999389648438
2009-01-12,39.40340042114258,12.04233455657959,39.9302864074707,14.44411849975586,15.815136909484863,33.8125,16.521005630493164,15.761332511901855,34.350311279296875,36.75101089477539,19.292131423950195,35.4030876159668,12.182555198669434,9.634539604187012,295.0,11.159343719482422,15.995950698852539,23.2549991607666
2009-01-13,39.741119384765625,12.08326530456543,39.61717987060547,14.539908409118652,15.670869827270508,33.20502471923828,16.652297973632812,16.13210105895996,35.57598876953125,36.5798225402832,19.325698852539062,37.488746643066406,11.803705215454102,9.717083930969238,303.54998779296875,11.019647598266602,15.801015853881836,23.475000381469727
2009-01-14,39.139991760253906,11.589838027954102,38.54465103149414,14.077483177185059,15.203227996826172,32.14357376098633,15.660308837890625,15.317867279052734,33.95230484008789,35.03069305419922,19.971847534179688,36.615272521972656,11.6587553024292,9.524474143981934,283.25,10.51838493347168,14.997906684875488,23.459999084472656
2009-01-15,38.9171028137207,11.228296279907227,38.278167724609375,14.321907997131348,14.874886512756348,32.24371337890625,15.543600082397461,13.827519416809082,33.819618225097656,35.56134796142578,18.847383499145508,36.68656921386719,11.777349472045898,9.630608558654785,290.010009765625,10.33759593963623,14.892645835876465,23.395000457763672
2009-01-16,38.7955322265625,10.78034782409668,38.45804214477539,14.480452537536621,14.90473461151123,32.176963806152344,15.937480926513672,13.318619728088379,33.819618225097656,35.5955810546875,17.949493408203125,36.73112106323242,11.454505920410156,9.815359115600586,297.5,9.910284996032715,14.670424461364746,24.084999084472656
2009-01-20,38.32952117919922,9.645695686340332,38.258201599121094,14.163359642028809,14.85996150970459,30.66158103942871,15.784303665161133,11.152162551879883,32.14537048339844,34.94511413574219,16.39705467224121,35.804161071777344,10.983407974243164,9.599161148071289,283.010009765625,9.220017433166504,12.643155097961426,23.3799991607666
2009-01-21,38.06609344482422,10.045890808105469,38.62045669555664,14.298781394958496,15.372379302978516,31.85651969909668,15.99583625793457,11.697413444519043,35.24745178222656,36.62261199951172,17.378868103027344,35.964595794677734,11.566511154174805,9.732810020446777,298.0,9.754158020019531,13.937491416931152,23.75
2009-01-22,38.410552978515625,10.045890808105469,38.211246490478516,14.242632865905762,15.004234313964844,31.796451568603516,15.09866714477539,10.090749740600586,34.2176399230957,35.364501953125,17.67257308959961,35.545677185058594,11.691699981689453,9.77604866027832,285.1499938964844,9.392584800720215,12.187016487121582,23.844999313354492
2009-01-23,37.802696228027344,10.07772445678711,37.567222595214844,13.938755989074707,15.143529891967773,31.32246208190918,14.449494361877441,10.64326286315918,35.089508056640625,33.97797775268555,17.84039878845215,35.33176803588867,11.790528297424316,9.646333694458008,289.67999267578125,9.795246124267578,12.350760459899902,23.510000228881836
2009-01-26,38.19441604614258,9.684351921081543,37.81544494628906,14.21290397644043,15.41715145111084,31.3558349609375,14.318207740783691,9.458253860473633,35.89820098876953,33.387451171875,17.655786514282227,36.00917053222656,11.71805191040039,9.795707702636719,279.3299865722656,9.713068962097168,12.576881408691406,23.940000534057617
2009-01-27,38.86308288574219,10.039069175720215,38.03681182861328,14.311997413635254,14.90473461151123,31.449308395385742,14.507845878601074,9.959885597229004,35.841346740722656,32.82256317138672,18.49494171142578,40.30531311035156,11.82347297668457,9.752464294433594,290.25,9.737719535827637,12.709431648254395,24.524999618530273
