Start Date,MEURVDD LX Equity,FFSOUYE LX Equity,RUSLCEX NA Equity,FSGLEVI ID Equity,MEREUDE LX Equity,FIEMYAE LX Equity,UBLCOUQ LX Equity,MORIUSE LX Equity,TRPGEMQ LX Equity,ITV LN Equity,LANSNA 0 10/25/2022 Corp,ACMBEVI LX Equity,MONESEU ID Equity,RRTL GY Equity,LGF/A US Equity,RSSEEFE LX Equity,INRG LN Equity,COMGREA ID Equity,VHYD LN Equity,CIT IM Equity,TCMAF NA Equity,FLEINDI LX Equity
2008-02-27,40.259998,,,,72.269997,,,38.93,,71.1,,14.13,,,9.31,,1362.5899,10.29,,,,87.14
2008-02-28,40.080002,,,,71.949997,,,38.92,,68.7,,13.93,,,9.21,,1343.48,10.18,,,,87.09
2008-02-29,39.470001,,,,70.68,,,38.36,,67,,13.58,,,9.41,,1325.1,10.08,,,,85.57
2008-03-03,38.66,,,,69.32,,,37.28,,65.4,,13.51,,,9.19,,1322.15,9.96,,,,80.04
2008-03-04,38.369999,,,,68.889999,,,37.09,,66.5,,13.34,,,8.99,,1303.1701,9.87,,,,78.65
2008-03-05,38.580002,,,,69.389999,,,37.3,,67.4,,13.52,,,9.07,,1349.0899,10,,,,78.93
2008-03-06,38.529999,,,,69.419998,,,37.18,,65.3,,13.21,,,8.8,,1329.2901,9.93,,,,78.93
2008-03-07,38.040001,,,,68.550003,,,36.48,,65,,13.14,,,8.8,,1277.4399,9.85,,,,75.55
2008-03-10,37.790001,,,,67.949997,,,35.78,,65.5,,12.9,,,8.67,,1245.5699,9.78,,,,75.07
2008-03-11,38.259998,,,,68.519997,,,36.07,,64.7,,13.4,,,8.64,,1252.85,9.82,,,,76.84
2008-03-12,38.630001,,,,69.129997,,,36.85,,66.1,,13.27,,,9.21,,1296.0501,9.89,,,,77.29
2008-03-13,37.599998,,,,67.449997,,,35.9,,65.3,,13.26,,,9.37,,1276.9,9.82,,,,72.81
2008-03-14,37.75,,,,67.650002,,,36.58,,64.5,,12.97,,,9.26,,1294.78,9.74,,,,74.42
2008-03-17,36.490002,,,,65.389999,,,35.74,,63.2,,12.5,,,9.2,,1236.9,9.74,,,,69.58
2008-03-18,37.09,,,,66.190002,,,36.26,,65,,13.06,,,9.42,,1269.61,9.62,,,,70.19
2008-03-19,36.939999,,,,65.730003,,,36.8,,64.2,,12.52,,,9.7,,1274.74,9.59,,,,70.88
2008-03-20,36.700001,,,,65.25,,,35.93,,65.3,,12.9,,,9.56,,1231.78,9.65,,,,70.88
2008-03-21,36.700001,,,,65.25,,,35.93,,65.3,,12.9,,,9.56,,1231.78,9.65,,,,70.88
2008-03-24,36.700001,,,,65.25,,,35.93,,65.3,,12.9,,,9.63,,1231.78,9.65,,,,70.88
2008-03-25,37.470001,,,,66.510002,,,38.14,,68.2,,13.27,,,9.74,,1314.77,9.88,,,,77
2008-03-26,37.41,,,,66.32,,,38.12,,68.1,,13.12,,,9.85,,1311.8001,9.84,,,,76.78
2008-03-27,37.75,,,,67.07,,,38.08,,69.1,,13.19,,,9.66,,1347.9499,9.96,,,,76.47
2008-03-28,37.75,,,,67.080002,,,37.92,,67.9,,13.14,,,9.71,,1348.6601,9.88,,,,78.31
2008-03-31,37.57,,,,66.919998,,,37.62,,63.3,,13.26,,,9.75,,1351.27,9.93,,,,74.63
2008-04-01,38.439999,,,,68.400002,,,38.07,,65.7,,13.93,,,9.99,,1371.86,10.14,,,20.2,73.96
2008-04-02,39.110001,,,,69.400002,,,38.92,,64.5,,13.92,,,10.12,,1399.86,10.1,,,20.2,74.67
2008-04-03,39.209999,,,,69.239998,,,39.06,,64,,13.88,,,10.16,,1398.3399,10.06,,,20.2,74.23
2008-04-04,39.279999,,,,69.540001,,,39.5,,64.2,,13.85,,81.54,10.15,,1474.1,10.08,,,20.2,71.86
2008-04-07,39.779999,,,,70.379997,,,40.08,,63.8,,13.98,,81.54,10.05,,1484.0699,10.12,,,20.18,73.47
2008-04-08,39.439999,,,,69.449997,,,39.5,,63,,13.86,,81.54,10.01,,1466.39,9.98,,,20.22,73.27
2008-04-09,39.580002,,,,69.480003,,,39.27,,62.4,,13.75,,81.54,9.96,,1464.4399,9.86,,,20.24,74.47
2008-04-10,38.889999,,,,68.300003,,,38.72,,61.5,,13.71,,81.54,10.04,,1451.7099,9.81,,,20.2,74.03
2008-04-11,38.759998,,,,68.190002,,,38.8,,61.9,,13.45,,81.54,9.95,,1447.3001,9.71,,,20.24,74.47
2008-04-14,38.5,,,,67.949997,,,38.42,,60.7,,13.48,,81.54,9.91,,1429.47,9.63,,,20.12,74.47
2008-04-15,38.73,,,,68.620003,,,38.46,,60.1,,13.54,,81.54,10,,1480,9.65,,,19.62,75.52
2008-04-16,39.07,,,,69.389999,,,38.78,,61.5,,13.85,,81.54,10.25,,1522.03,9.65,,,20.01,76.07
2008-04-17,39.23,,,,69.400002,,,39.29,,62.2,,13.76,,81.54,10.15,,1504.88,9.66,,,19.91,77.54
2008-04-18,40.16,,,,71,,,40.18,,64,,14,,81.54,10.19,,1502.6899,9.77,,,19.97,77.54
2008-04-21,39.830002,,,,70.459999,,,40.51,,67.9,,13.9,,81.54,10.41,,1506.1601,9.71,,,20.17,78.86
2008-04-22,39.619999,,,,70.150002,,,40.37,,65.3,,13.75,,81.54,10.27,,1522.12,9.64,,,19.88,79.68
2008-04-23,39.290001,,,,70.029999,,,40.34,,64.9,,13.8,,81.54,10.28,,1547.3199,9.71,,,19.71,78.93
2008-04-24,39.740002,,,,70.809998,,,40.08,,66.1,,13.86,,81.54,10.3,,1507.4,9.8,,,19.72,78.74
2008-04-25,40.41,,,,71.949997,,,40.6,,65.1,,14.16,,81.54,10.26,,1492.25,9.92,,,20.23,80.54
2008-04-28,40.790001,,,,72.470001,,,40.93,,64.9,,14.13,,81.54,10.2,,1500.8399,9.95,,,20.22,80.43
2008-04-29,40.610001,,,,71.830002,,,40.93,,64.4,,14.05,,81.54,10.2,,1477.64,9.91,,,20.24,81.44
2008-04-30,40.84,,,,71.900002,,,41.24,,66,,14,,81.54,10.27,,1490.28,9.96,,,19.93,80.79
2008-05-01,40.84,,,,71.900002,,,41.24,,66.5,,14,,81.54,10.22,,1468.53,9.96,,,19.93,80.79
2008-05-02,41.689999,,,,73.610001,,,42.01,,68.3,,14.45,,81.54,10.18,,1484.9599,10.03,,,20.41,81.81
2008-05-05,41.470001,,,,73.25,,,41.93,,68.3,,14.42,,81.54,10,,1484.9599,10.03,,,20.5,81.65
2008-05-06,41,,,,72.989998,,,41.65,,68,,14.45,,81.54,10.13,,1488.0799,9.95,,,20.42,80.15
2008-05-07,41.490002,,,,74,,,42.12,,67.9,,14.35,,81.54,10.02,,1504.8001,10.01,,,19.95,78.67
2008-05-08,41.25,,,,73.730003,,,41.47,,67.7,,14.47,,81.54,9.85,,1515.8299,10,,,20.4,76.75
2008-05-09,40.849998,,,,72.82,,,41.28,,67.4,,14.23,,81.54,9.79,,1511.11,9.89,,,20.25,75.43
2008-05-12,40.849998,,,,72.82,,,41.28,,66.8,,14.23,,81.54,10.04,,1515.6999,9.89,,,20.01,75.21
2008-05-13,41.029999,,,,73.18,,,41.98,,64.5,,14.28,,81.54,10.06,,1536.12,9.89,,,20.01,74.71
2008-05-14,41.419998,,,,73.760002,,,42.4,,62.9,,14.29,,81.54,10.11,,1593.5501,9.91,,,19.67,74.73
2008-05-15,41.459999,,,,73.809998,,,42.28,,61.9,,14.48,,81.54,10,,1580.52,9.97,,,19.43,75.99
2008-05-16,41.93,,,,74.720001,,,42.67,,62.5,,14.53,,81.54,9.99,,1586.48,9.99,,,18.89,76.45
2008-05-19,41.970001,,,,75,,,42.95,,63,,14.51,,81.54,9.94,,1636.6899,10.07,,,19.37,76.45
2008-05-20,41.560001,,,,74.019997,,,42.4,,60.6,,14.28,,81.54,9.86,,1583.9101,9.92,,,19.48,75.46
2008-05-21,41.259998,,,,73.459999,,,42.6,,58.6,,13.96,,81.54,9.75,,1601.74,9.83,,,19.45,74.91
2008-05-22,41.310001,,,,73.480003,,,41.58,,57.9,,14.18,,81.54,9.78,,1574.9499,9.82,,,19.25,73.12
2008-05-23,41.150002,,,,73.190002,,,41.28,,59.1,,13.96,,81.54,9.68,,1552.9201,9.74,,,19.36,72.82
2008-05-26,40.73,,,,72.480003,,,41.21,,59.1,,13.95,,81.54,9.68,,1552.9201,9.74,,,19.32,71.03
2008-05-27,40.66,,,,72.419998,,,41.19,,58.8,,13.95,,81.54,9.75,,1526.9,9.76,,,18.99,70.28
2008-05-28,40.779999,,,,72.910004,,,41.47,,59.1,,14.04,,81.54,9.67,,1518.64,9.93,,,19.47,71.74
2008-05-29,40.82,,,,73.279999,,,42.15,,59.3,,14.01,,81.54,9.85,,1496.22,9.97,,,19.48,71.12
2008-05-30,41.110001,,,,73.730003,,,42.29,,58.9,,14.03,,81.54,10.65,,1544.1701,10.01,,,19.72,72.12
2008-06-02,40.599998,,,,73.129997,,,42.13,,58.9,,13.82,,81.54,9.85,,1558.1,10.01,,,19.21,70.44
2008-06-03,40.57,,,,73.559998,,,42.19,,60.4,,13.9,,81.54,9.96,,1559.5899,10,,,18.96,69.36
2008-06-04,40,,,,72.650002,,,41.91,,60,,13.79,,81.54,9.95,,1537.87,9.99,,,19.24,67.42
2008-06-05,40.009998,,,,72.599998,,,42.29,,60.4,,13.94,,81.54,9.9,,1540.24,10.04,,,19.22,67.97
