Date,BA.L,CCH.L,ANTO.L,MGGT.L,RR.L,SSE.L,SMIN.L,SPX.L,PSN.L,AHT.L,ABF.L,VOD.L,RMV.L,SDR.L,PRU.L,SMT.L,ENT.L,ABDN.L,STJ.L
2015-12-07,378.6177978515625,1280.767578125,383.3536376953125,313.0964050292969,186.1760711669922,965.3236083984375,828.3016357421875,2833.787353515625,1114.44384765625,957.2952880859375,3267.79248046875,146.94308471679688,377.7022399902344,2281.263671875,1069.2491455078125,262.23004150390625,333.1745300292969,295.8479309082031,746.9658203125
2015-12-08,373.7781066894531,1246.889404296875,354.3153991699219,305.6120300292969,179.92449951171875,950.6469116210938,807.4586791992188,2792.810302734375,1103.135498046875,937.2948608398438,3233.7333984375,146.06680297851562,369.3828430175781,2223.251953125,1064.688720703125,262.2686462402344,336.108154296875,291.63836669921875,735.8060302734375
2015-12-09,373.7781066894531,1229.536865234375,358.2459716796875,304.44775390625,176.4174346923828,961.9878540039062,822.465576171875,2820.1279296875,1098.6121826171875,1018.2058715820312,3234.65380859375,145.4601593017578,365.5928649902344,2217.763916015625,1065.0396728515625,256.88848876953125,336.5272216796875,289.0535888671875,731.3421020507812
2015-12-10,371.3209533691406,1214.6634521484375,357.7646789550781,301.5372314453125,172.91046142578125,967.3248901367188,792.0348510742188,2831.055419921875,1095.784912109375,1000.932861328125,3185.5185546875,143.33692932128906,366.42486572265625,2196.59765625,1043.9912109375,257.2935485839844,338.2035827636719,287.207275390625,722.7862548828125
2015-12-11,365.2154541015625,1188.221923828125,344.0477294921875,300.539306640625,168.33615112304688,957.3182373046875,784.53125,2785.525390625,1078.2569580078125,989.1144409179688,3154.923095703125,140.30368041992188,359.67681884765625,2116.635986328125,1030.6607666015625,250.13922119140625,348.26165771484375,278.6406555175781,704.5584106445312
2015-12-14,359.92889404296875,1168.390625,330.7317810058594,293.8033142089844,163.91427612304688,938.6385498046875,766.606201171875,2747.280517578125,1075.9951171875,979.1142578125,3103.93310546875,137.3378448486328,361.8028564453125,2099.38916015625,1009.9635620117188,251.42152404785156,345.74713134765625,270.2215270996094,689.6787109375
2015-12-15,364.8431701660156,1231.189453125,331.21307373046875,301.03826904296875,164.67665100097656,967.3248901367188,772.8592529296875,2783.704345703125,1113.87841796875,1000.0235595703125,3150.288330078125,141.213623046875,365.77777099609375,2220.115966796875,1039.7818603515625,256.5992431640625,347.8425598144531,274.06182861328125,721.6702880859375
2015-12-16,366.630126953125,1228.71044921875,335.0634765625,301.1214294433594,172.75796508789062,977.3316650390625,781.6131591796875,2805.55859375,1103.700927734375,1018.2058715820312,3142.871826171875,143.43800354003906,370.399658203125,2234.22705078125,1048.9024658203125,261.2659606933594,369.6351318359375,278.34521484375,723.158203125
2015-12-17,369.5339660644531,1244.4102783203125,332.8976135253906,301.7035217285156,174.8927001953125,989.3399658203125,772.8592529296875,2815.5751953125,1104.8316650390625,1024.5694580078125,3155.850830078125,144.75242614746094,372.52569580078125,2299.293701171875,1054.8663330078125,262.14337158203125,375.083251953125,278.6406555175781,735.4340209960938
2015-12-18,366.70458984375,1239.4525146484375,333.9404296875,301.20458984375,175.8075714111328,990.67431640625,770.3580932617188,2910.277587890625,1099.742919921875,1009.1148071289062,3084.464111328125,142.4269561767578,366.0550537109375,2281.263671875,1044.69287109375,258.8168640136719,378.43597412109375,276.4989318847656,724.2742309570312
2015-12-21,367.37469482421875,1200.616455078125,341.0797119140625,301.2877502441406,173.67283630371094,988.0057373046875,769.5242309570312,2902.992919921875,1099.177490234375,995.4782104492188,3000.09814453125,141.48324584960938,364.2987365722656,2271.855712890625,1040.1324462890625,260.1764221191406,383.46502685546875,279.82220458984375,718.3223266601562
2015-12-22,367.52362060546875,1206.4005126953125,356.9625244140625,301.78668212890625,172.45309448242188,993.342529296875,780.3626098632812,2919.38330078125,1113.3131103515625,994.5689697265625,3019.567138671875,142.0225067138672,367.3491516113281,2280.479248046875,1054.5155029296875,261.8348083496094,388.91314697265625,283.2193908691406,721.6702880859375
2015-12-23,371.4698791503906,1228.71044921875,371.4816589355469,309.4373779296875,180.07701110839844,1011.3548583984375,800.3718872070312,2964.913818359375,1122.3597412109375,1020.0239868164062,3076.119873046875,145.32537841796875,373.9123229980469,2326.731689453125,1080.8258056640625,262.6832275390625,385.56036376953125,289.7921447753906,738.4100341796875
2015-12-24,370.278564453125,1218.794921875,371.0805969238281,308.439453125,181.44924926757812,1022.6958618164062,799.121337890625,3013.17578125,1115.57470703125,1010.9330444335938,3095.589111328125,146.03309631347656,371.878662109375,2321.244140625,1080.4749755859375,261.96978759765625,385.56036376953125,291.8599548339844,741.0139770507812
2015-12-29,377.5009765625,1226.2318115234375,369.5564270019531,313.8448486328125,178.8571319580078,1039.373779296875,805.7911987304688,2984.0361328125,1153.4580078125,1025.4786376953125,3122.4755859375,147.44862365722656,382.41656494140625,2369.064208984375,1095.2086181640625,268.15020751953125,388.4940490722656,293.26312255859375,761.1016845703125
2015-12-30,376.38409423828125,1217.1424560546875,378.701171875,314.34381103515625,176.722412109375,1030.0341796875,798.2875366210938,2998.60595703125,1152.3270263671875,1022.7515869140625,3131.745849609375,146.60606384277344,382.5090026855469,2347.8984375,1084.684326171875,265.4118957519531,388.4940490722656,291.49072265625,754.4058227539062
2015-12-31,371.9910888671875,1196.4847412109375,376.4550476074219,311.59954833984375,175.35015869140625,1019.3604125976562,783.2807006835938,2989.5,1146.107421875,1017.2969360351562,3098.370361328125,148.96524047851562,381.307373046875,2333.0029296875,1074.1602783203125,265.0166320800781,388.4940490722656,287.7981872558594,749.9418334960938
2016-01-04,367.44915771484375,1179.132568359375,357.5240478515625,302.6182556152344,170.7757568359375,1004.0165405273438,768.6906127929688,2904.814208984375,1125.7523193359375,981.8414306640625,3037.181884765625,145.59498596191406,378.3492431640625,2245.986328125,1022.59228515625,255.97250366210938,397.29486083984375,275.3172302246094,726.878173828125
2016-01-05,367.82147216796875,1179.132568359375,358.486572265625,307.2752380371094,172.1480712890625,1014.023193359375,769.107421875,2936.685302734375,1132.537353515625,997.2963256835938,3013.0771484375,148.08895874023438,379.2737121582031,2255.393310546875,1035.572265625,255.23973083496094,399.80938720703125,274.87420654296875,721.6702880859375
2016-01-06,381.5961608886719,1180.784912109375,347.8980712890625,306.7762756347656,170.7757568359375,1014.023193359375,756.1847534179688,2905.724365234375,1111.0511474609375,970.0228881835938,2960.232666015625,147.71824645996094,378.6266784667969,2208.357177734375,1004.7013549804688,253.79344177246094,404.0002746582031,271.99395751953125,708.2785034179688
2016-01-07,376.38409423828125,1165.085205078125,329.3681335449219,303.20037841796875,166.50640869140625,992.0082397460938,740.343994140625,2891.155029296875,1109.3551025390625,951.8406372070312,2885.137939453125,147.07789611816406,373.63494873046875,2131.531005859375,972.4275512695312,246.15711975097656,396.0376281738281,264.75653076171875,689.3067016601562
2016-01-08,386.80816650390625,1157.6485595703125,319.5014343261719,299.62451171875,170.62335205078125,986.004150390625,747.4307250976562,2849.267578125,1126.317626953125,928.2037963867188,2811.896240234375,150.34703063964844,378.8114929199219,2101.741455078125,965.4114990234375,244.61439514160156,393.5231018066406,268.0798645019531,685.5867309570312
2016-01-11,392.0201721191406,1162.6064453125,310.99859619140625,299.9571533203125,168.33615112304688,984.002685546875,740.343994140625,2835.60888671875,1125.7523193359375,927.294677734375,2814.67724609375,148.83041381835938,378.2569274902344,2075.08740234375,956.6414794921875,242.76316833496094,389.7513122558594,268.3752746582031,674.7989501953125
2016-01-12,388.29736328125,1169.2169189453125,300.0892028808594,303.20037841796875,169.55599975585938,981.3343505859375,742.011474609375,2857.463134765625,1135.9296875,932.7493286132812,2826.72998046875,149.1674346923828,380.29052734375,2103.30908203125,961.9031982421875,248.1143798828125,388.91314697265625,271.99395751953125,682.9827880859375
2016-01-13,390.5310974121094,1168.390625,295.8376770019531,306.69305419921875,170.92823791503906,989.3399658203125,744.0958862304688,2791.899658203125,1135.9296875,948.2041625976562,2819.31298828125,149.976318359375,385.74432373046875,2102.525390625,971.0240478515625,241.23008728027344,388.4940490722656,276.9420166015625,696.74658203125
2016-01-14,386.0635986328125,1143.6015625,299.1265563964844,303.86566162109375,169.7084197998047,973.9961547851562,767.023193359375,2729.97900390625,1096.915771484375,909.8744506835938,2798.9169921875,148.42599487304688,364.11383056640625,2032.75439453125,963.3067626953125,243.71774291992188,387.6558532714844,274.72650146484375,682.9827880859375
2016-01-15,382.34075927734375,1128.72802734375,281.23834228515625,297.7118225097656,165.8964080810547,949.979736328125,747.013916015625,2685.35986328125,1083.9110107421875,876.1079711914062,2768.32275390625,145.76348876953125,355.1473693847656,1996.693603515625,938.048583984375,238.50146484375,388.074951171875,266.5290222167969,664.0110473632812
