Date,NOVN,SLHN,SIKA,CSGN,LONN,SCMN,GEBN,SGSN,NESN,ADEN,GIVN,ABBN,ZURN,SREN,BAER,UBSG,UHR,CFR,ROG
2010-01-04,28.853952407836914,81.9994125366211,22.28062629699707,32.35956573486328,56.95886993408203,222.49342346191406,136.23509216308594,933.6968994140625,34.64773941040039,32.502716064453125,598.10400390625,11.976715087890625,104.9638671875,25.62830924987793,26.055221557617188,10.322611808776855,215.1949005126953,28.777080535888672,116.35833740234375
2010-01-05,28.35601043701172,84.23355865478516,22.482563018798828,32.66170120239258,56.99561309814453,222.6608428955078,138.01788330078125,927.5811157226562,33.831695556640625,33.502803802490234,592.7254638671875,12.03586196899414,107.24567413330078,26.079689025878906,25.731813430786133,10.41019344329834,217.60740661621094,28.922832489013672,114.81288146972656
2010-01-06,28.408946990966797,84.05242156982422,22.617197036743164,32.08763885498047,56.18716049194336,221.0421142578125,137.423583984375,920.7857055664062,33.29447555541992,34.002845764160156,604.9170532226562,12.124579429626465,106.8349609375,26.5059871673584,25.46465492248535,10.341378211975098,218.7332305908203,29.12525177001953,115.58558654785156
2010-01-07,28.198760986328125,87.67535400390625,22.549882888793945,33.35663986206055,56.84862518310547,219.75828552246094,136.9779052734375,925.5425415039062,32.91365432739258,35.00292205810547,607.4269409179688,12.28426742553711,105.37458801269531,26.230148315429688,25.16937255859375,10.372657775878906,223.0757293701172,29.368165969848633,114.61973571777344
2010-01-08,28.198760986328125,87.37344360351562,22.415252685546875,33.87028121948242,58.02455139160156,219.2559051513672,137.64645385742188,931.6585083007812,33.396480560302734,35.0584831237793,618.9014282226562,12.449871063232422,106.05912780761719,26.55614471435547,25.422475814819336,10.76679515838623,225.9707489013672,29.530107498168945,114.9416732788086
2010-01-11,28.304121017456055,92.20404815673828,22.482563018798828,33.175350189208984,58.79624557495117,218.92100524902344,138.01788330078125,954.7631225585938,33.20607376098633,34.2250862121582,630.3758544921875,12.349322319030762,105.05511474609375,26.104764938354492,25.731813430786133,10.660440444946289,225.3274383544922,29.78921890258789,115.07048034667969
2010-01-12,28.042041778564453,91.17752838134766,22.53641700744629,32.90342330932617,58.7595100402832,218.30697631835938,139.65213012695312,941.8517456054688,33.18567657470703,33.725040435791016,630.7344970703125,12.14232063293457,105.51150512695312,25.477846145629883,25.73884391784668,10.472756385803223,222.5128173828125,29.03618621826172,114.55531311035156
2010-01-13,28.38274574279785,88.33958435058594,22.226781845092773,32.691917419433594,58.9432373046875,219.08843994140625,140.84066772460938,944.5698852539062,33.18567657470703,33.725040435791016,632.8858642578125,12.083176612854004,105.78530883789062,25.377540588378906,25.75993537902832,10.322611808776855,227.82034301757812,29.748733520507812,115.19925689697266
2010-01-14,28.722915649414062,86.22618103027344,22.751821517944336,32.782569885253906,60.67038345336914,217.35806274414062,142.62342834472656,928.2607421875,33.55968475341797,33.86393737792969,636.1129760742188,12.225122451782227,106.74368286132812,25.578155517578125,26.68796730041504,10.347635269165039,231.84115600585938,29.77302360534668,117.71061706542969
2010-01-15,28.38274574279785,84.47508239746094,22.105613708496094,31.42292022705078,60.19265365600586,217.0231475830078,142.0291748046875,939.1336059570312,33.403282165527344,34.44732666015625,622.8458251953125,12.189637184143066,106.33296966552734,25.12677574157715,26.498144149780273,10.072364807128906,237.9528350830078,29.53820037841797,118.74089813232422
2010-01-18,28.9330997467041,85.0185317993164,22.105613708496094,31.664640426635742,59.82517623901367,217.46975708007812,141.95486450195312,943.89013671875,33.63449478149414,34.61399841308594,628.2243041992188,12.11866283416748,107.2000503540039,24.72555160522461,26.406747817993164,10.10990047454834,241.24993896484375,30.469369888305664,117.9681625366211
2010-01-19,29.273271560668945,85.26006317138672,22.29408836364746,31.4531307220459,58.9799919128418,219.47918701171875,144.4805145263672,943.89013671875,33.865699768066406,34.363983154296875,627.5072631835938,12.03586196899414,106.92623901367188,24.489831924438477,25.90757942199707,10.047340393066406,238.7570037841797,30.720378875732422,119.44918823242188
2010-01-20,29.116025924682617,83.50897979736328,22.28062629699707,30.879066467285156,59.237220764160156,218.0279083251953,144.85191345214844,943.89013671875,34.06971740722656,33.7528190612793,623.9215698242188,11.734225273132324,105.3289566040039,24.07857322692871,25.309986114501953,9.878425598144531,234.41453552246094,29.878284454345703,119.12724304199219
2010-01-21,29.45724868774414,81.51634216308594,21.661348342895508,30.395626068115234,58.02455139160156,218.1953887939453,141.5091552734375,935.0563354492188,34.64773941040039,33.47502136230469,631.8102416992188,11.479905128479004,104.59876251220703,23.52187728881836,25.049850463867188,9.722023010253906,230.87615966796875,28.801366806030273,119.77115631103516
2010-01-22,29.483457565307617,80.48983764648438,21.32478141784668,28.437744140625,57.9878044128418,217.97206115722656,140.54348754882812,926.2221069335938,34.375732421875,33.1138801574707,626.072998046875,11.39118766784668,103.54912567138672,22.859851837158203,24.78269386291504,9.340397834777832,226.13157653808594,28.323640823364258,118.99845123291016
2010-01-25,29.195171356201172,80.61060333251953,21.68827247619629,29.005769729614258,58.09804916381836,217.1348419189453,140.3949432373047,918.7470703125,34.171722412109375,32.64162063598633,621.4115600585938,11.37935733795166,102.63639068603516,23.020339965820312,25.387313842773438,9.227787971496582,224.92532348632812,28.210283279418945,116.87349700927734
2010-01-26,29.797420501708984,81.4559555053711,22.011377334594727,28.806352615356445,58.833003997802734,215.73936462402344,140.3206329345703,918.7470703125,33.96090316772461,31.947111129760742,617.1085205078125,11.503561973571777,104.41622924804688,23.496795654296875,25.492778778076172,9.07138442993164,224.76451110839844,28.461292266845703,118.29014587402344
